relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Blade Runner (1982) [tmdbid-78]/Blade Runner (1982) - (Spanish English Subs) BDRemux x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",7051s,51721kbps,23.98,42.46 GB
"Blade Runner 2049 (2017) [tmdbid-335984]/Blade Runner 2049 (2017) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",9759s,30378kbps,23.98,34.51 GB
"Blade Runner: 2022 Apagón (2017) [tmdbid-475946]/Blade Runner: 2022 Apagón (2017) - (eng, spa subs) (h264 1080).mkv",H264,High,8-bit,SDR,1080p,"OPUS 2.0 (spa)",914s,2681kbps,25.00,0.29 GB
"Blade Runner: 2036 Nexus Dawn (2017) [tmdbid-473072]/Blade Runner: 2036 Nexus Dawn (2017) - (eng, spa subs) (h264 1080).mkv",H264,High,8-bit,SDR,1080p,"OPUS 2.0 (spa)",389s,911kbps,25.00,0.04 GB
"Blade Runner: 2048 Nowhere to Run (2017) [tmdbid-475759]/Blade Runner: 2048 Nowhere to Run (2017) - (spanish) (h264 1080).mkv",H264,High,8-bit,SDR,1080p,"OPUS 2.0 (spa)",363s,1415kbps,25.00,0.06 GB
"Blancanieves (2025) [tmdbid-447273]/Blancanieves (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 by Kowalski.mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Castellano DD+ 5.1 @ 640 kb/s); EAC3 5.1 (Ingles DD+ 5.1 @ 640 kb/s)",6682s,8007kbps,24.00,6.23 GB
"Blancanieves y los siete enanitos (1938) [tmdbid-408]/Blancanieves y los siete enanitos (1938) - (Spanish English Subs) Micro4K 2160p HDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",4990s,7359kbps,23.98,4.27 GB
"Bolt (2008) [tmdbid-13053]/Bolt (2008) - (Spanish English Subs) BDRip 1080p x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5782s,5706kbps,23.98,3.84 GB
"Bosque maldito (2019) [tmdbid-484437]/Bosque maldito (2019) - BDRip m1080p x264 Spanish-English AC3 5 1 Subs.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano); AC3 5.1 (English)",5410s,3277kbps,23.98,2.06 GB
"Buscando a Dory (2016) [tmdbid-127380]/Buscando a Dory (2016) - (Spanish English Subs) WEB-DL m1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5823s,5938kbps,23.98,4.03 GB
